chr promcore_start promcore_end strand NBR_name transid TSS
18 60986819 60987561 - BCL2::ENSG00000171791.10::TS_4 ENST00000398117.1 60987361
19 30302604 30303059 + CCNE1::ENSG00000105173.9::TS_1 ENST00000262643.3 30302805
17 37856028 37856491 + ERBB2::ENSG00000141736.9::TS_7 ENST00000540147.1 37856254
1 65432015 65432387 - JAK1::ENSG00000162434.7::TS_2 ENST00000342505.4 65432187
9 4985179 4985444 + JAK2::ENSG00000096968.8::TS_2 ENST00000381652.3 4985245
19 17958754 17959041 - JAK3::ENSG00000105639.14::TS_4 ENST00000458235.1 17958841
4 55523884 55524181 + KIT::ENSG00000157404.11::TS_1 ENST00000288135.5 55524085
12 25403697 25404070 - KRAS::ENSG00000133703.7::TS_3 ENST00000311936.3 25403865
12 69201755 69202257 + MDM2::ENSG00000135679.17::TS_1 ENST00000462284.1 69201956
1 11322501 11322764 - MTOR::ENSG00000198793.8::TS_4 ENST00000361445.4 11322564
8 128748129 128748666 + MYC::ENSG00000136997.10::TS_2 ENST00000377970.2 128748330
1 115259315 115259715 - NRAS::ENSG00000213281.4::TS_1 ENST00000369535.4 115259515
4 41750787 41751187 - PHOX2B::ENSG00000109132.5::TS_3 ENST00000226382.2 41750987
1 9711589 9711860 + PIK3CD::ENSG00000171608.11::TS_1 ENST00000377346.4 9711803
6 43739528 43739838 + VEGFA::ENSG00000112715.16::TS_4 ENST00000230480.6 43739729
